1,3,4,2,2,3,1,2,3,3,1,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,0,1,1,0,2,2,0,1,1,1,2,2,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
6,2,6,2,12,0,0,1,0,1,0,0,3,1,1,5,1,1,1,0,0,4,0,1,4,3,0,1,0,0,2,1,0,1,1,2,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,2,0
3,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,1,2,1,1,2,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,1,2,1,0,0,0,0,0
6,5,2,0,8,2,2,1,3,1,2,0,5,2,3,1,1,0,4,1,0,2,1,0,2,3,0,1,0,0,2,2,0,1,1,1,0,0,0,1,0,0,0,0,2,1,0,1,1,3,0,1,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,8,0,2,3,2,2,1,1,1,4,0,0,1,0,1,0,0,0,1,3,1,1,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,3,0,1,2,1,8,0,0,1,0,0,0,3,0,1,0,0,0,0,1,1,3,0,4,0,12,3,1,3,0,12
10,3,0,4,9,2,0,0,0,0,0,1,9,0,9,1,4,0,8,1,1,3,1,1,5,5,10,1,0,2,9,4,1,2,0,1,2,0,0,1,3,0,0,1,0,3,8,0,0,1,0,0,3,1,0,5,1,0,3,0,0,1,1,1,1,2,0,0,3,0
6,11,5,9,4,2,3,7,3,6,5,3,2,6,0,3,1,6,0,3,2,0,4,0,3,1,1,2,0,5,1,2,1,0,1,0,1,1,1,2,0,2,4,0,8,2,1,0,0,3,0,2,1,0,2,0,3,0,1,1,1,2,3,0,1,2,1,5,1,1
11,5,3,5,2,5,1,0,0,3,1,1,0,0,0,1,2,1,1,1,1,0,1,0,3,3,0,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,0,2,0,0,3,4,0,2,0,0,3,1,0,0,0,0,2,1,0,0,2,1,1,1,0,0,5
5,1,3,2,11,7,0,1,0,1,1,0,7,1,6,1,3,0,5,1,1,1,0,1,2,0,1,0,0,0,4,2,0,0,1,2,0,0,0,0,1,0,0,2,2,2,7,1,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3,3,1,2,0,0,3,3,3,0,2,0,0,1,0,0,0,3,0,2,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,2,4,1,1,1,0,0,0,1
1,1,4,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,2,0,1,1,0,0,3,0,3,0,0,3,2,4,0,2,0,4,0,0,0,0,3,0,0,3,0,1,0,0,0,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,6,0
3,1,4,3,12,3,1,0,0,2,0,0,3,1,1,0,2,1,1,1,1,3,0,1,0,6,4,0,0,3,5,0,0,1,0,3,1,1,0,2,0,0,0,1,2,3,0,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1
5,8,5,7,8,6,0,0,0,1,3,1,7,0,2,7,1,5,2,0,4,8,2,0,3,3,3,4,1,0,3,3,1,5,2,0,1,4,0,1,0,1,0,2,1,1,8,1,4,0,3,0,4,0,1,2,1,0,0,1,2,4,1,1,0,1,0,0,0,0
1,0,0,0,2,0,2,0,0,1,0,0,1,0,1,1,1,0,3,0,2,0,1,1,1,1,1,0,0,0,4,1,0,1,0,0,0,0,0,1,1,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,6,5,3,1,5,1,0,1,3,0,0,1,0,0,0,0,2,0,0,2,0,2,0,0,5,0,2,0,0,1,1,2,1,1,0,1,1,0,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1
3,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,3,0,1,0,0,2,1,2
4,6,4,4,4,2,1,0,2,4,0,0,2,1,0,0,3,0,0,4,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,2,1,3,6,0,0,2,3,1,4,2,0,0,0,2,0,0,0,1,1,1,0,0,4,1,0,0,0,2,0,0,0,1,4,0
4,0,1,1,7,2,1,0,0,0,0,1,7,0,2,1,2,0,3,0,0,6,0,4,7,1,4,2,0,1,1,1,0,5,0,1,0,0,0,0,2,0,0,1,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0
13,3,3,1,6,6,0,2,0,0,1,0,9,1,6,2,2,3,6,0,3,5,0,0,5,3,1,4,0,2,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,1,0,0,3,0,0,2,1,1,0,0,0,2,0,0,0,1,1,0,2,0
1,0,1,0,0,2,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,3
5,1,1,1,12,0,0,1,0,0,1,0,3,0,4,0,1,0,2,0,1,0,2,1,2,2,1,2,0,0,3,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,1,2,0,0,0,0,3,4,1,0,0,0,0,0,4,0,1,1,1,1,0,0,2,0,3,0,1,0,0,1,0,1,1,0,1,0,2,0,1,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,4
4,1,4,0,6,0,0,1,1,3,0,0,2,4,6,0,2,0,4,1,0,0,0,9,3,2,4,0,1,4,0,2,0,1,0,6,1,1,1,1,11,0,2,3,0,10,1,1,1,7,0,0,0,0,1,2,2,0,7,0,0,0,0,0,1,0,0,0,9,0
5,1,3,1,4,1,1,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,4
5,2,3,3,6,2,2,0,3,4,1,0,1,1,0,0,1,0,1,2,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2,0,0,0,0,0,2,0,1,0,0,1,1,5,1,1,0,1,0,0,3,1,3,0,3
8,16,8,10,5,4,7,8,3,0,3,0,0,4,1,2,0,2,0,9,5,1,3,0,1,1,1,5,0,5,0,0,1,0,1,0,1,4,1,1,0,1,9,2,8,0,0,0,2,1,3,1,0,0,3,0,1,2,3,1,1,0,6,2,1,1,1,1,4,1
3,9,0,1,0,1,2,2,0,3,4,2,1,1,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,2,2,1,1,0,0,0,5,0,0,3,0,0,0,2,0,0,1,0,0,2,1,1,0,0,4,2,4,3,0,4,1,1
2,1,2,6,5,2,1,1,1,1,0,2,2,0,4,2,0,0,3,2,0,0,0,7,2,0,5,0,1,2,1,1,0,1,0,22,0,1,1,0,7,0,1,3,0,5,1,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,1,0,1,0,0,0,8,0
1,6,1,0,1,0,1,0,2,1,0,2,0,0,0,0,0,4,0,1,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,3,2,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,3,0,1,0,0,0,1,1,3,0,3
0,0,3,0,1,0,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,2,2,0,0,1,0,6,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,2,0,2,0,2,1,1,1,0,2
0,0,5,2,8,3,0,0,0,1,0,1,1,0,1,0,3,0,2,1,0,0,1,0,4,0,3,1,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,10,0,3,3,1,6,0,1,1,1,1,0,1,0,0,0,7,0,4,2,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,1,10,3,0,2,9,0,9,0,0,2,0,1,1,0,0,1,2,0,1,2,0,4,4,0,8,2,6,5,5,1,0,6
2,0,6,4,2,1,2,0,0,0,1,0,2,3,0,0,2,0,1,1,0,0,0,1,3,1,2,0,0,3,0,2,1,0,0,4,2,0,0,0,7,0,0,2,1,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,8,0
10,3,1,3,4,2,0,1,2,0,0,0,6,0,4,8,6,0,8,1,0,4,1,1,4,4,2,1,0,0,3,3,0,1,0,2,1,0,0,0,1,1,0,1,0,2,2,0,0,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0
2,5,0,0,1,3,2,0,0,3,3,0,0,1,0,2,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,2,0,3,0,1,2,1,0,1,1,0,0,1,0,0,3,0,2,0,0,6,1,6,1,0,2,0,4
3,8,1,1,2,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,4,0,0,2,0,1,1,0,0,0,1,1,0,0,1,1,3,0,2,1,0,1,1,2,0,2
2,5,7,3,8,0,0,4,0,0,0,0,1,5,2,2,0,0,1,0,0,2,0,2,0,2,0,0,0,0,1,1,0,0,0,2,0,2,1,0,3,0,0,0,1,3,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,1,3,1
1,6,3,1,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,3,0,2,0,2,0,0,4
2,3,0,2,2,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,3,0,2,0,3,2,3,1,0,7
2,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3,2,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,3,0,0,1,0,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,3,0,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,1,0,3
1,3,0,2,0,2,1,1,1,1,0,1,2,0,0,0,0,2,0,1,0,1,0,1,1,1,1,2,1,1,0,1,0,0,1,1,0,1,1,1,0,0,3,0,9,0,0,1,3,0,0,0,0,1,1,0,0,1,0,2,0,0,4,0,1,1,3,3,1,0
8,1,1,1,3,2,1,0,1,0,2,0,1,0,1,1,3,1,5,0,0,1,0,0,2,5,0,2,0,2,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0
1,1,3,0,5,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0
2,3,2,3,1,1,1,0,10,2,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,2,1,0,1,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,3,0,1,1,0,3
3,3,8,3,1,3,1,2,0,2,0,0,0,5,1,1,0,0,0,4,0,0,0,1,5,2,1,1,0,1,2,1,0,0,0,3,0,3,4,1,2,1,1,1,1,4,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,2,1,0,0,1,0,6,2
2,5,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,1,0,1,0,1,7,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,1,0,4
5,9,6,6,0,3,1,6,1,1,2,0,0,0,1,0,1,2,0,2,2,1,0,0,0,1,1,2,0,2,2,0,0,0,2,0,1,4,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3,1,0,1,4,3,1,0,1,0,2,0,0,0,0,2,0,0,0,0,1,1,0,0,0,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
3,3,5,1,2,0,7,1,0,2,1,1,0,0,0,0,0,3,0,1,1,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,2,7,1,0,0,2,0,8,0,1,8,2,0,1,1,0,0,1,0,0,3,0,8,2,0,6,1,6,6,4,5,1,7
3,5,2,1,0,2,3,2,1,1,3,3,1,1,0,0,2,3,0,2,7,0,1,0,0,3,1,2,2,0,0,0,0,0,4,0,2,0,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,2,3,1,0,1,1,2,0,4,1,2,1,0,1,1,1,9
2,3,3,1,0,1,5,2,0,0,2,0,0,2,0,1,0,5,0,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,4,5,0,2,1,1,10,0,0,2,0,0,0,1,0,2,1,0,1,4,0,2,0,0,7,2,5,1,3,4,0,6
2,8,3,2,1,0,1,2,2,1,2,0,0,0,0,0,1,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,3,1,1,0,3
1,5,1,0,1,2,5,2,0,0,0,2,0,1,0,0,0,3,0,9,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,4,2,4,0,1,0,0,3,0,0,0,0,1,2,1,0,0,1,0,0,1,3,0,1,1,4,1,1,3,0,8,0,0
1,8,0,3,0,1,2,3,1,1,1,0,0,0,0,0,0,3,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,1,4,1,0,2,9,0,7,0,0,0,0,1,1,0,0,1,4,0,1,3,1,2,2,0,4,2,6,0,2,4,3,3
5,4,15,9,7,2,0,2,0,2,1,1,2,2,0,1,1,0,0,3,1,1,0,6,3,3,1,2,0,6,5,1,0,1,1,9,0,1,0,0,8,0,0,0,1,3,0,0,0,3,0,0,0,0,1,0,1,0,9,0,0,0,1,0,0,1,1,0,8,0
3,4,2,0,1,0,2,2,2,2,1,2,0,1,0,1,0,4,0,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,5,2,0,1,2,0,2,1,1,1,0,0,0,3,0,1,1,0,6,3,3,2,1,2,0,4
